URL,Labels
https://bsky.app/profile/frydawolff.bsky.social/post/3m5hrq7x5n22c,["drug-approved"]
https://bsky.app/profile/hoopdogtheking.bsky.social/post/3ko5jqsoxsv25,["drug-approved"]
https://bsky.app/profile/sneakinup.bsky.social/post/3m5bxkxtfkc2r,["drug-approved"]
https://bsky.app/profile/duxfeminafacti9.bsky.social/post/3m5mfndqfu224,["drug-approved"]
https://bsky.app/profile/humanlongevity.bsky.social/post/3lhcizif5ba25,"[""drug-approved"",""unsupported-claim""]"
https://bsky.app/profile/global-news-2024.bsky.social/post/3m32fbmf3he2j,"[""drug-approved"",""unsupported-claim""]"
https://bsky.app/profile/modernshartist.bsky.social/post/3lgbvo5irhc2h,"[""drug-approved"",""unsupported-claim""]"
https://bsky.app/profile/ptn64pau.bsky.social/post/3lzo2gif53k25,"[""drug-approved"",""unsupported-claim""]"
https://bsky.app/profile/rnflex.bsky.social/post/3m4h4e36qws2e,["drug-unapproved"]
https://bsky.app/profile/waxwing.bsky.social/post/3m4y2hk2sgk2e,["drug-unapproved"]
https://bsky.app/profile/drstevenquest.bsky.social/post/3m5dbxxuelc23,["drug-unapproved"]
https://bsky.app/profile/riverasdfhjasdfhj.bsky.social/post/3lpew2cj42c2q,["drug-unapproved"]
https://bsky.app/profile/chainbear.bsky.social/post/3m52sfsof522e,[]
https://bsky.app/profile/prozdishere.bsky.social/post/3m5nmw4l7ts2g,[]
https://bsky.app/profile/jonbois.bsky.social/post/3m5u7c6woo22v,[]
https://bsky.app/profile/wendyjfox.bsky.social/post/3m5tz3fafpk2n,[]
https://bsky.app/profile/grimmorph.bsky.social/post/3m4dvwrleoc2l,["drug-approved"]
https://bsky.app/profile/maxsportsnutrition.bsky.social/post/3lcwzpdnlws2u,["drug-unapproved"]
https://bsky.app/profile/klogoldman.bsky.social/post/3k2swihjktz2v,"[""drug-approved"",""unsupported-claim""]"
https://bsky.app/profile/litetheironman.bsky.social/post/3lgyh3qaqx225,"[""drug-approved"",""supported-claim""]"
https://bsky.app/profile/heratylaw.bsky.social/post/3m3ujc7lf3c2v,"[""drug-approved"",""supported-claim""]"
https://bsky.app/profile/phillyvoice.com/post/3m4nmikloc62d,"[""drug-approved"",""supported-claim""]"
https://bsky.app/profile/wolfaro.bsky.social/post/3kj6wfqubs62k,"[""drug-approved"",""supported-claim""]"
https://bsky.app/profile/purplemutant.bsky.social/post/3lhzcd732n22s,"[""drug-approved"",""supported-claim""]"
https://bsky.app/profile/ryanbebej.bsky.social/post/3m65ggr42ek2j,[]

